Time,co2,Temperature(°C),Humidity(%),Pressure(hPa)
11/11/2020 12:02:12,"534","8,9","63","958"
11/11/2020 12:07:12,"545","10,0","62","958"
11/11/2020 12:12:12,"597","11,8","63","958"
11/11/2020 12:17:12,"645","13,4","63","958"
11/11/2020 12:22:12,"550","14,4","62","958"
11/11/2020 12:27:12,"512","16,0","61","958"
11/11/2020 12:32:12,"551","17,0","60","957"
11/11/2020 12:37:12,"514","17,3","59","958"
11/11/2020 12:42:12,"527","17,4","59","958"
11/11/2020 12:47:12,"562","17,6","60","957"
11/11/2020 12:52:12,"563","17,8","60","958"
11/11/2020 12:57:12,"583","18,0","60","954"
11/11/2020 13:02:12,"597","18,2","60","949"
11/11/2020 13:07:12,"622","18,3","60","946"
11/11/2020 13:12:12,"623","18,5","60","945"
11/11/2020 13:17:12,"1601","19,7","63","945"
11/11/2020 13:22:12,"1658","19,9","63","944"
11/11/2020 13:27:12,"1682","20,1","63","944"
11/11/2020 13:32:12,"1650","20,2","63","944"
11/11/2020 13:37:12,"1654","20,3","63","944"
11/11/2020 13:42:12,"1578","20,4","62","944"
11/11/2020 13:47:12,"1186","20,4","61","944"
11/11/2020 13:52:12,"882","20,4","59","944"
11/11/2020 13:57:12,"862","20,3","59","944"
11/11/2020 14:02:12,"720","20,2","58","944"
11/11/2020 14:07:12,"748","20,1","58","944"
11/11/2020 14:12:12,"667","20,1","58","944"
11/11/2020 14:17:12,"640","20,0","58","944"
11/11/2020 14:22:12,"583","20,0","56","944"
11/11/2020 14:27:12,"604","19,9","56","944"
11/11/2020 14:32:12,"568","19,9","56","944"
11/11/2020 14:37:12,"568","19,8","56","944"
11/11/2020 14:42:12,"569","19,9","56","944"
11/11/2020 14:47:12,"585","19,8","56","944"
11/11/2020 14:52:12,"599","19,8","56","944"
11/11/2020 14:57:12,"638","19,8","57","944"
11/11/2020 15:02:12,"670","19,9","57","944"
11/11/2020 15:07:12,"674","19,9","57","944"
11/11/2020 15:12:12,"712","19,9","57","944"
11/11/2020 15:17:12,"686","20,0","57","944"
11/11/2020 15:22:12,"697","19,9","57","944"
11/11/2020 15:27:12,"721","20,0","57","944"
11/11/2020 15:32:12,"738","20,0","57","944"
11/11/2020 15:37:12,"791","19,9","57","944"
11/11/2020 15:42:12,"798","19,9","58","944"
11/11/2020 15:47:12,"791","19,9","58","944"
11/11/2020 15:52:12,"788","19,9","58","944"
11/11/2020 15:57:12,"782","19,9","58","944"
11/11/2020 16:02:12,"769","19,9","58","944"
11/11/2020 16:07:12,"797","19,9","58","944"
11/11/2020 16:12:12,"775","19,9","58","944"
11/11/2020 16:17:12,"781","19,9","58","944"
11/11/2020 16:22:12,"798","19,9","58","944"
11/11/2020 16:27:12,"841","19,9","58","944"
11/11/2020 16:32:12,"867","19,9","58","944"
11/11/2020 16:37:12,"908","20,0","58","944"
11/11/2020 16:42:12,"1001","20,0","59","944"
11/11/2020 16:47:12,"1103","20,2","59","945"
11/11/2020 16:52:12,"1085","20,2","59","950"
11/11/2020 16:57:12,"1098","20,2","59","950"
11/11/2020 17:02:12,"484","19,6","53","950"
11/11/2020 17:07:12,"463","18,8","53","950"
